news,class_international,class_sci-tech & agri,class_sport,class_sunday magazine
,1,0,0,0
"Tug of war:Russian President Vladimir Putin and U.S. President Joe Biden have laid out their demands.File Photo
| Photo Credit: Patrick Semansky
After tough talk between Presidents Joe Biden and Vladimir Putin over the Russian troop build-up on the Ukraine border, U.S. and Russia insist they are hopeful that a pathway to easing tensions could open during diplomatic talks set for January.But with less than two weeks to go before senior U.S. and Russian officials are to meet in Geneva, the chasm is deep and the prospect of finding an exit to the crisis faces no shortage of complications.Mr. Biden on Friday told reporters that he advised Mr. Putin when they spoke by phone a day earlier that the upcoming talks could only work if the Russian leader “deescalated, not escalated, the situation” in the days ahead.“I made it clear to President Putin that if he makes any more moves into Ukraine we will have severe sanctions,” Mr. Biden said. “We will increase our presence in Europe with NATO allies.”Meanwhile, Mr. Biden’s national security team on Friday turned their attention to preparation for the Geneva talks, set for January 9 and 10, to discuss the Russian massing of some 1,00,000 troops on its border with Ukraine.Mr. Biden is scheduled to speak by phone on Sunday with Ukraine President Volodymyr Zelenskyy.Secretary of State Antony Blinken on Friday debriefed Canadian Foreign Minister Mélanie Joly, Italian Foreign Minister Luigi Di Maio and NATO Secretary General Jens Stoltenberg on the Biden-Putin call and discussed preparations for the upcoming summit.A top Putin aide on Friday reinforced that Russia stands by its demands for written security guarantees. Moscow wants it codified that any future expansion of NATO must exclude Ukraine and other former Soviet bloc countries and demands that the bloc remove offensive weaponry from countries in the Russian neighborhood.“We will not allow our initiatives to be drowned in endless discussions,” Foreign Minister Sergey Lavrov told the state RIA-Novosti news agency Friday.“If no constructive answer comes in a reasonable time and the West continues its aggressive course, Russia will have to take all necessary measures to maintain a strategic balance and remove unacceptable threats to our security,” he added.The Biden administration and NATO allies have made clear that the Russian demands are non-starters.Former envoys’ letterFollowing the Biden-Putin call, a group of 24 former U.S. national security officials and Russia experts — a group that includes several officials who served in the Obama, George W. Bush and Clinton’s administrations — released a statement calling on Mr. Biden to immediately, and publicly, lay out the penalties Russia would face if Mr. Putin were to move forward with military action.The Russians for their part continue to make the case that they are facing an existential threat with Ukraine.
Our",1,0,0,0
"Deteriorating ties:Small arms and grenade launchers were used during Saturday’s attack.File Photo
| Photo Credit: SERGEI SUPINSKY
Ukraine said on Saturday one of its soldiers was killed in fighting with pro-Moscow separatists, as the U.S. again warned Russia against any attacks on the country.In his New Year’s eve address, Mr. Zelensky said ending the war in the east remains his “main goal”.“One serviceman of the Joint Forces was fatally wounded,” the Army said in a statement.It also added that separatists had launched three attacks within 24 hours, using grenade launchers and small arms.The Army gave no further details of how the soldier was killed.Tensions with Moscow have soared in recent months, with Russia massing troops near Ukraine’s borders.The West has accused the Kremlin of planning an invasion.On December 22, international monitors said Russia and Ukraine had agreed to restore a ceasefire, but as early as the next day, Kiev and separatists accused each other of new violations. The soldier’s death on Saturday was the first since the truce was agreed.All previous ceasefires crumbled.Kiev has been battling a pro-Moscow insurgency in two breakaway regions bordering Russia since 2014, when the Kremlin annexed Ukraine’s Crimean peninsula.
Our code of editoria",1,0,0,0
"ockets fired from the Hamas-ruled Gaza Strip on Saturday landed in the Mediterranean Sea off central Israel, the Israeli military said.It was not immediately clear whether the rockets were meant to hit Israel, but Gaza-based militant groups often test-fire missiles toward the sea. There were no reports of casualties.Apart from a single incident in September, there has been no cross-border rocket fire since a cease-fire ended an 11-day war between Israel and Hamas in May.In a statement, the Israeli army said the rockets fell off the coast of the Tel Aviv Metropolitan Area.“According to protocol, no sirens were sounded and no interception took place,” it added.High tensionsWitnesses in Gaza said they woke up to the sound of outgoing missiles around 7 a.m. and pictures circulated on social media showed whiffs of white smoke from the launching area.The cease-fire, brokered by Egypt and other mediators, has been fragile. The militant Hamas group says Israel did not take serious steps to ease the blockade it imposed on Gaza.Tension are also high as other groups like the smaller but more hard-line Islamic Jihad threaten military escalation if Israel doesn’t end the administrative detention of a Palestinian prisoner who has been on a hunger strike for over 130 days.
Our code of editorial value",1,0,0,0
"An Apollo Go autonomous taxi safety driver sits without touching the wheel as the vehicle drives automatically on a street in Yizhuang, a town of Daxing District, in the southeast suburbs of Beijing on November 26, 2021. - Beijing this week approved its first autonomous taxis for commercial use, bringing dozens of the so-called ""robotaxis"" to the streets of the Chinese capital. An employee of the taxi firm also sits in the front of the car in case any sudden intervention is needed, but the vehicle drives itself. (Photo by Jade GAO / AFP) / TO GO WITH AFP STORY CHINA-ECONOMY-TRANSPORT-TECHNOLOGY
| Photo Credit: JADE GAO
China will end subsidies for electric and hybrid cars at the end of the year, authorities have announced, saying the strength of sales in the sector meant state support was no longer needed.In a statement published on Friday, the Ministry of Finance said purchase subsidies would be reduced by 30% from the beginning of 2022 before being scrapped completely by the end of the year.“Given the growth of the industry for vehicles with new energy, the sales trends and the smooth transition of manufacturers, the subsidies... will end on December 31,” the Ministry said.“Vehicles registered after December 31, 2022 will not be subsidised.”Sales of electric and hybrid cars have boomed in China, with increases of more than 100% year-on-year in recent months.The cars are set to represent 18% of all vehicle sales in 2022, the China Association of Automobile Manufacturers (CAAM) estimated last week. In 2019, they accounted for only 5%.Of the 27.5 million vehicles set to be sold this year, according to CAAM, five million will be electric and hybrids.
Our code of e",1,0,0,0
"he EU is planning to label energy from nuclear power and natural gas as “green” sources for investment despite internal disagreement over whether they truly qualify as sustainable options.The proposal, aims to support the 27-nation bloc’s shift towards a carbon-neutral future and gild its credentials as a global standard-setter for fighting climate change.But the fact the European Commission quietly distributed the text to member states late on Friday, in the final hours of 2021 after the much-delayed document had been twice promised earlier in the year, highlighted the rocky road to draft it. If a majority of member states back it, it will become EU law, coming into effect from 2023.Opposing viewsFrance has led the charge for nuclear power — its main energy source — to be included, despite robust opposition from Austria and scepticism from Germany, which is in the process of shutting all its nuclear plants.Fossil-reliant countries in the EU’s east and south have also defended the use of natural gas, at least as a transitional source, even though it still produces significant greenhouse emissions.
Our ",1,0,0,0
"Kim Jong-Un
| Photo Credit: 朝鮮通信社
North Korean leader Kim Jong-Un put the economy front and centre of an agenda-setting speech at the end of a key ruling party meeting, state media reported on Saturday, with no mention of the United States.In a speech at the end of the party meeting on Friday, Mr. Kim acknowledged the “harsh situation” in 2021 as he laid out plans for the coming year.Mr. Kim said battling the pandemic was one of the main goals for the coming year.Mr. Kim did not mention the United States or directly address foreign policy.But he said Pyongyang would continue to build up its military capabilities keeping in mind “the military environment of the peninsula” and the changing international situation.
Our code of ",1,0,0,0
"CAPE TOWN, SOUTH AFRICA - JANUARY 01: Reverend Naomi Tutu speaks during the funeral of emeritus Archbishop and Nobel peace laureate, Desmond Tutu at St Georges Cathedral on January 1, 2022 in Cape Town, South Africa. Desmond Mpilo Tutu OMSG CH GCStJ was as much known for his work as an anti-apartheid and human rights activist as his religious status. He was the first black Bishop of Johannesburg from 1985 to 1986 and then Archbishop of Cape Town from 1986 to 1996. He worked alongside a newly-released Nelson Mandela leading negotiations to end apartheid in the country and introduce a multi-racial democracy. As President of South Africa, Mandela chose Tutu to lead the Truth and Reconciliation Commission. Tutu died on December 26, 2021 aged 90 leaving wife Nomalizo Leah Tutu and four children. (Photo by Jaco Marais - Pool/Getty Images)
| Photo Credit: POOL
South Africa said farewell on Saturday to Archbishop Desmond Tutu, the last great hero of the struggle against apartheid, in a funeral stripped of pomp but freighted with glowing tributes and showered with rain. Tutu died on last Sunday at the age of 90, triggering grief among South Africans and tributes from world leaders. Famous for his modesty, Tutu gave instructions for a simple, no-frills ceremony.AFP
Our code of editorial values",1,0,0,0
"he United Nations has called on Yemen’s internationally recognised government to allow the entry of communications equipment to the airport in the rebel-held capital Sanaa. Sanaa airport was closed for several days in December after the Sasudi-led coalition pounded it with air strikes The Houthis reopened it on December 27. UN humanitarian coordinator welcomed the airport’s reopening, but said communications equipment there had been found to be faulty.AFP
Our code of editorial value",1,0,0,0
"ritain’s Prince Charles urged people in a New Year message to “take a moment” to recognise those “standing up for freedom and human rights” around the world. The heir to the throne paid tribute to people in places such as Afghanistan, Syria and Myanmar facing persecution alongside increasingly dire humanitarian situations.AFP
Our code of editoria",1,0,0,0
